player_name,country_of_citizenship_x,current_club_name,Total Assist,Total Red Card,Total Yellow Card,Total Goals
Robert Lewandowski,Poland,FC Barcelona,78,0,41,377
Lionel Messi,Argentina,Paris Saint-Germain,187,1,44,342
Cristiano Ronaldo,Portugal,Manchester United,82,2,41,323
Harry Kane,England,Tottenham Hotspur,52,0,37,233
Pierre-Emerick Aubameyang,Gabon,Chelsea FC,51,1,25,230
Luis SuÃ¡rez,Uruguay,AtlÃ©tico de Madrid,106,0,75,223
Ciro Immobile,Italy,SS Lazio,60,2,47,215
Karim Benzema,France,Real Madrid,86,0,5,204
Romelu Lukaku,Belgium,Inter Milan,57,0,35,202
Mohamed Salah,Egypt,Liverpool FC,84,0,12,201
Wissam Ben Yedder,France,AS Monaco,60,0,22,188
Alexandre Lacazette,France,Olympique Lyon,54,1,38,180
Neymar,Brazil,Paris Saint-Germain,107,2,74,180
Sergio AgÃ¼ero,Argentina,FC Barcelona,40,1,20,176
Edinson Cavani,Uruguay,Valencia CF,37,0,33,174
Antoine Griezmann,France,AtlÃ©tico de Madrid,70,2,47,173
Kylian MbappÃ©,France,Paris Saint-Germain,82,1,32,169
Mauro Icardi,Argentina,Galatasaray,42,0,16,167
Bas Dost,Netherlands,FC Utrecht,31,0,19,160
Heung-min Son,"Korea, South",Tottenham Hotspur,79,4,18,157
Luuk de Jong,Netherlands,PSV Eindhoven,68,1,32,157
Edin Dzeko,Bosnia-Herzegovina,Inter Milan,70,2,45,154
Sadio ManÃ©,Senegal,Bayern Munich,62,2,49,154
SÃ©bastien Haller,Cote d'Ivoire,Borussia Dortmund,56,1,27,147
Erling Haaland,Norway,Manchester City,33,0,15,146
Gonzalo HiguaÃ­n,Argentina,Juventus FC,33,1,26,146
Paulo Dybala,Argentina,AS Roma,64,0,30,146
Wout Weghorst,Netherlands,Besiktas JK,53,0,56,144
Timo Werner,Germany,RB Leipzig,71,0,19,142
Dries Mertens,Belgium,Galatasaray,77,1,49,141
Jamie Vardy,England,Leicester City,43,2,30,140
Thomas MÃ¼ller,Germany,Bayern Munich,166,1,23,136
Raheem Sterling,England,Chelsea FC,86,0,43,133
Artem Dzyuba,Russia,Adana Demirspor,75,0,22,131
Gerard Moreno,Spain,Villarreal CF,39,0,39,129
Zlatan IbrahimoviÄ‡,Sweden,AC Milan,43,2,25,127
Bruno Fernandes,Portugal,Manchester United,107,0,87,126
Arkadiusz Milik,Poland,Juventus FC,29,0,34,125
Memphis Depay,Netherlands,AtlÃ©tico de Madrid,65,0,29,125
Ãlvaro Morata,Spain,AtlÃ©tico de Madrid,57,3,61,124
Andrea Belotti,Italy,AS Roma,31,0,29,124
Jonas,Brazil,SL Benfica,39,1,27,124
Roberto Firmino,Brazil,Liverpool FC,84,0,24,121
Steven Berghuis,Netherlands,Ajax Amsterdam,95,1,51,121
Alexis SÃ¡nchez,Chile,Olympique Marseille,77,0,38,120
Paul Onuachu,Nigeria,Southampton FC,23,0,39,120
DuvÃ¡n Zapata,Colombia,Atalanta BC,56,0,26,119
Olivier Giroud,France,AC Milan,33,1,28,118
Dusan Tadic,Serbia,Ajax Amsterdam,123,0,27,116
Andrej Kramaric,Croatia,TSG 1899 Hoffenheim,47,0,18,113
Marco Reus,Germany,Borussia Dortmund,73,1,22,111
