name,is_win,own_goals,opponent_goals
Bayern Munich,428.0,1554.0,523.0
FC Barcelona,422.0,1494.0,576.0
Real Madrid,417.0,1458.0,624.0
Manchester City,399.0,1376.0,542.0
Juventus FC,393.0,1096.0,500.0
Celtic FC,390.0,1301.0,503.0
Paris Saint-Germain,359.0,1218.0,440.0
SL Benfica,355.0,1123.0,453.0
Atlético de Madrid,348.0,987.0,477.0
Olympiacos Piraeus,347.0,1062.0,428.0
Ajax Amsterdam,347.0,1290.0,523.0
FC Porto,341.0,1028.0,412.0
Chelsea FC,333.0,1088.0,627.0
SSC Napoli,332.0,1106.0,603.0
PSV Eindhoven,331.0,1185.0,573.0
Liverpool FC,330.0,1150.0,627.0
Manchester United,327.0,1028.0,620.0
Arsenal FC,326.0,1069.0,639.0
Borussia Dortmund,316.0,1188.0,678.0
Sevilla FC,311.0,1025.0,716.0
Tottenham Hotspur,300.0,1029.0,652.0
Sporting CP,300.0,909.0,481.0
Shakhtar Donetsk,300.0,1006.0,431.0
Inter Milan,288.0,955.0,577.0
PAOK Thessaloniki,286.0,878.0,440.0
AS Roma,285.0,947.0,628.0
Zenit St. Petersburg,283.0,940.0,466.0
Feyenoord Rotterdam,275.0,986.0,557.0
SS Lazio,274.0,932.0,671.0
Dynamo Kyiv,271.0,847.0,419.0
AC Milan,261.0,849.0,594.0
SC Braga,261.0,833.0,535.0
Fenerbahce,260.0,841.0,498.0
FC Copenhagen,259.0,824.0,467.0
AZ Alkmaar,255.0,934.0,622.0
Bayer 04 Leverkusen,252.0,947.0,664.0
Besiktas JK,250.0,855.0,547.0
Olympique Lyon,249.0,889.0,582.0
CSKA Moscow,242.0,722.0,449.0
Club Brugge KV,240.0,821.0,480.0
Galatasaray,239.0,804.0,526.0
Villarreal CF,235.0,817.0,570.0
FC Midtjylland,227.0,760.0,490.0
Aberdeen FC,224.0,678.0,516.0
AS Monaco,222.0,751.0,536.0
Valencia CF,222.0,786.0,661.0
Atalanta BC,220.0,824.0,632.0
Olympique Marseille,220.0,725.0,554.0
Rangers FC,220.0,723.0,336.0
ACF Fiorentina,219.0,773.0,608.0
Athletic Bilbao,218.0,726.0,629.0
Real Sociedad,216.0,735.0,608.0
Panathinaikos Athens,215.0,605.0,380.0
FK Krasnodar,212.0,737.0,512.0
RSC Anderlecht,204.0,718.0,476.0
KRC Genk,200.0,718.0,515.0
Borussia Mönchengladbach,199.0,789.0,648.0
Trabzonspor,199.0,688.0,559.0
Spartak Moscow,199.0,645.0,524.0
VfL Wolfsburg,197.0,717.0,628.0
Eintracht Frankfurt,197.0,749.0,700.0
AEK Athens,196.0,580.0,302.0
Lokomotiv Moscow,196.0,619.0,488.0
LOSC Lille,194.0,590.0,487.0
Vitesse Arnhem,190.0,744.0,579.0
KAA Gent,186.0,655.0,477.0
Bröndby IF,186.0,636.0,475.0
RB Leipzig,185.0,673.0,418.0
Basaksehir FK,184.0,589.0,429.0
Everton FC,182.0,657.0,643.0
OGC Nice,182.0,559.0,519.0
FC Utrecht,181.0,702.0,591.0
Real Betis Balompié,178.0,629.0,665.0
Stade Rennais FC,174.0,612.0,535.0
West Ham United,171.0,653.0,685.0
Standard Liège,171.0,601.0,513.0
Leicester City,169.0,618.0,545.0
FC Schalke 04,165.0,607.0,650.0
Zorya Lugansk,165.0,553.0,409.0
Torino FC,164.0,675.0,630.0
Vitória Guimarães SC,162.0,548.0,533.0
Celta de Vigo,162.0,613.0,662.0
AS Saint-Étienne,158.0,522.0,481.0
Twente Enschede FC,156.0,625.0,530.0
St. Johnstone FC,156.0,478.0,548.0
Southampton FC,156.0,597.0,681.0
Aalborg BK,156.0,563.0,455.0
TSG 1899 Hoffenheim,155.0,747.0,699.0
Motherwell FC,154.0,557.0,648.0
Atromitos Athens,153.0,470.0,413.0
Asteras Tripolis,153.0,490.0,457.0
SC Heerenveen,150.0,637.0,649.0
FK Rostov,148.0,498.0,489.0
SC Freiburg,148.0,556.0,589.0
Udinese Calcio,147.0,588.0,672.0
UC Sampdoria,146.0,582.0,686.0
Dynamo Moscow,146.0,505.0,438.0
1.FSV Mainz 05,144.0,584.0,647.0
Akhmat Grozny,143.0,459.0,469.0
FC Nordsjaelland,143.0,538.0,492.0
FC Girondins Bordeaux,142.0,511.0,536.0
Randers FC,141.0,479.0,441.0
Montpellier HSC,141.0,550.0,568.0
US Sassuolo,140.0,573.0,636.0
Newcastle United,139.0,495.0,611.0
RSC Charleroi,138.0,476.0,440.0
RCD Espanyol Barcelona,138.0,509.0,612.0
Rio Ave FC,138.0,463.0,492.0
Kasimpasa,137.0,578.0,592.0
Crystal Palace,136.0,472.0,565.0
FC Groningen,136.0,531.0,587.0
Rubin Kazan,135.0,416.0,399.0
Heracles Almelo,132.0,558.0,624.0
SV Zulte Waregem,132.0,549.0,624.0
PEC Zwolle,131.0,526.0,595.0
Vorskla Poltava,130.0,404.0,396.0
Sivasspor,130.0,496.0,516.0
Hibernian FC,130.0,469.0,429.0
Heart of Midlothian FC,130.0,477.0,467.0
CS Marítimo,129.0,441.0,564.0
FC Augsburg,128.0,516.0,646.0
Getafe CF,127.0,413.0,520.0
Konyaspor,126.0,454.0,451.0
SönderjyskE,125.0,480.0,485.0
Odense Boldklub,122.0,485.0,480.0
Hertha BSC,122.0,503.0,617.0
SV Werder Bremen,122.0,558.0,659.0
FC Nantes,121.0,398.0,478.0
Bologna FC 1909,120.0,471.0,587.0
Kilmarnock FC,120.0,452.0,556.0
Antalyaspor,119.0,445.0,514.0
PAS Giannina,118.0,373.0,402.0
Aarhus GF,117.0,472.0,436.0
Levante UD,117.0,475.0,600.0
KV Kortrijk,116.0,448.0,493.0
FC Paços de Ferreira,115.0,411.0,556.0
Genoa CFC,114.0,477.0,610.0
Ural Yekaterinburg,112.0,390.0,495.0
KV Mechelen,112.0,447.0,498.0
Dnipro Dnipropetrovsk (-2020),112.0,351.0,201.0
VfB Stuttgart,111.0,473.0,586.0
Royal Antwerp FC,110.0,343.0,265.0
Panionios Athens,109.0,328.0,342.0
Cagliari Calcio,108.0,441.0,601.0
Granada CF,106.0,392.0,557.0
Kayserispor,105.0,413.0,553.0
Ross County FC,103.0,440.0,610.0
KV Oostende,102.0,395.0,510.0
Dundee United FC,101.0,388.0,440.0
Stade Reims,100.0,365.0,423.0
Willem II Tilburg,100.0,417.0,567.0
Rayo Vallecano,100.0,372.0,498.0
Moreirense FC,98.0,372.0,473.0
Hellas Verona,98.0,417.0,546.0
Alanyaspor,98.0,386.0,378.0
GD Estoril Praia,98.0,351.0,405.0
AO Xanthi,98.0,311.0,325.0
1.FC Köln,98.0,447.0,489.0
Aston Villa,97.0,369.0,515.0
Panetolikos GFS,96.0,327.0,445.0
ADO Den Haag,95.0,431.0,585.0
FC Lorient,94.0,377.0,473.0
Inverness Caledonian Thistle FC,93.0,350.0,337.0
CA Osasuna,93.0,326.0,448.0
Wolverhampton Wanderers,93.0,282.0,293.0
Aris Thessaloniki,92.0,298.0,272.0
Esbjerg fB,91.0,365.0,366.0
Boavista FC,91.0,322.0,427.0
SD Eibar,90.0,342.0,414.0
Burnley FC,89.0,305.0,426.0
FC Toulouse,89.0,366.0,486.0
Deportivo Alavés,87.0,264.0,360.0
Krylya Sovetov Samara,87.0,325.0,391.0
Brighton & Hove Albion,87.0,338.0,364.0
Bursaspor,86.0,326.0,344.0
Genclerbirligi Ankara,85.0,326.0,396.0
FK Oleksandriya,85.0,309.0,294.0
Swansea City,85.0,339.0,393.0
St. Mirren FC,85.0,328.0,479.0
APO Levadiakos,84.0,269.0,382.0
Málaga CF,84.0,314.0,353.0
OFI Crete FC,84.0,286.0,390.0
Sint-Truidense VV,83.0,293.0,354.0
Angers SCO,82.0,311.0,415.0
Chornomorets Odessa,81.0,277.0,377.0
1.FC Union Berlin,81.0,254.0,234.0
AFC Bournemouth,80.0,332.0,445.0
Caykur Rizespor,79.0,350.0,446.0
Stoke City,78.0,278.0,355.0
Hannover 96,77.0,339.0,422.0
Chievo Verona,77.0,283.0,415.0
West Bromwich Albion,77.0,328.0,442.0
Hamburger SV,76.0,290.0,401.0
FK Ufa,76.0,260.0,326.0
Akhisarspor,74.0,290.0,354.0
AC Horsens,74.0,291.0,357.0
Watford FC,74.0,277.0,421.0
Gil Vicente FC,73.0,278.0,372.0
RC Strasbourg Alsace,72.0,301.0,313.0
Vitória Setúbal FC,72.0,293.0,426.0
FC Arouca,72.0,253.0,334.0
EA Guingamp,72.0,254.0,345.0
