name,hosting,is_win,own_goals,opponent_goals
Bayern Munich,Home,217.0,826.0,231.0
Bayern Munich,Away,211.0,728.0,292.0
FC Barcelona,Home,234.0,854.0,256.0
FC Barcelona,Away,188.0,640.0,320.0
Real Madrid,Home,227.0,812.0,290.0
Real Madrid,Away,190.0,646.0,334.0
Manchester City,Home,224.0,797.0,245.0
Manchester City,Away,175.0,579.0,297.0
Juventus FC,Home,230.0,635.0,225.0
Juventus FC,Away,163.0,461.0,275.0
Celtic FC,Home,215.0,706.0,203.0
Celtic FC,Away,175.0,595.0,300.0
Paris Saint-Germain,Home,199.0,693.0,189.0
Paris Saint-Germain,Away,160.0,525.0,251.0
SL Benfica,Home,194.0,625.0,202.0
SL Benfica,Away,161.0,498.0,251.0
Atlético de Madrid,Home,202.0,551.0,184.0
Atlético de Madrid,Away,146.0,436.0,293.0
Olympiacos Piraeus,Home,196.0,603.0,183.0
Olympiacos Piraeus,Away,151.0,459.0,245.0
Ajax Amsterdam,Home,187.0,696.0,221.0
Ajax Amsterdam,Away,160.0,594.0,302.0
FC Porto,Home,200.0,602.0,186.0
FC Porto,Away,141.0,426.0,226.0
Chelsea FC,Home,184.0,611.0,281.0
Chelsea FC,Away,149.0,477.0,346.0
SSC Napoli,Home,189.0,641.0,297.0
SSC Napoli,Away,143.0,465.0,306.0
PSV Eindhoven,Home,186.0,636.0,220.0
PSV Eindhoven,Away,145.0,549.0,353.0
Liverpool FC,Home,184.0,615.0,254.0
Liverpool FC,Away,146.0,535.0,373.0
Manchester United,Home,188.0,561.0,257.0
Manchester United,Away,139.0,467.0,363.0
Arsenal FC,Home,189.0,610.0,279.0
Arsenal FC,Away,137.0,459.0,360.0
Borussia Dortmund,Home,175.0,659.0,303.0
Borussia Dortmund,Away,141.0,529.0,375.0
Sevilla FC,Home,196.0,590.0,285.0
Sevilla FC,Away,115.0,435.0,431.0
Sporting CP,Home,171.0,482.0,186.0
Sporting CP,Away,129.0,427.0,295.0
Shakhtar Donetsk,Home,154.0,514.0,179.0
Shakhtar Donetsk,Away,146.0,492.0,252.0
Tottenham Hotspur,Home,179.0,560.0,274.0
Tottenham Hotspur,Away,121.0,469.0,378.0
Inter Milan,Home,167.0,540.0,274.0
Inter Milan,Away,121.0,415.0,303.0
PAOK Thessaloniki,Home,173.0,506.0,184.0
PAOK Thessaloniki,Away,113.0,372.0,256.0
AS Roma,Home,170.0,539.0,270.0
AS Roma,Away,115.0,408.0,358.0
Zenit St. Petersburg,Home,168.0,570.0,205.0
Zenit St. Petersburg,Away,115.0,370.0,261.0
Feyenoord Rotterdam,Home,169.0,573.0,228.0
Feyenoord Rotterdam,Away,106.0,413.0,329.0
SS Lazio,Home,164.0,543.0,291.0
SS Lazio,Away,110.0,389.0,380.0
Dynamo Kyiv,Home,138.0,429.0,181.0
Dynamo Kyiv,Away,133.0,418.0,238.0
SC Braga,Home,156.0,481.0,234.0
SC Braga,Away,105.0,352.0,301.0
AC Milan,Home,151.0,445.0,257.0
AC Milan,Away,110.0,404.0,337.0
Fenerbahce,Home,150.0,468.0,237.0
Fenerbahce,Away,110.0,373.0,261.0
