player_name,League_name,sub_type,type,yellow_cards,red_cards,goals,assists
Robert Lewandowski,bundesliga,first_tier,domestic_league,21,0,238,43
Lionel Messi,laliga,first_tier,domestic_league,27,0,226,107
Luis Suárez,laliga,first_tier,domestic_league,60,0,186,81
Harry Kane,premier-league,first_tier,domestic_league,32,0,180,45
Ciro Immobile,serie-a,first_tier,domestic_league,35,2,167,44
Karim Benzema,laliga,first_tier,domestic_league,4,0,143,70
Kylian Mbappé,ligue-1,first_tier,domestic_league,26,1,135,58
Cristiano Ronaldo,laliga,first_tier,domestic_league,11,1,134,39
Jamie Vardy,premier-league,first_tier,domestic_league,26,2,133,43
Sergio Agüero,premier-league,first_tier,domestic_league,15,1,132,32
Edinson Cavani,ligue-1,first_tier,domestic_league,17,0,122,24
Antoine Griezmann,laliga,first_tier,domestic_league,35,1,118,48
Mohamed Salah,premier-league,first_tier,domestic_league,4,0,118,49
Iago Aspas,laliga,first_tier,domestic_league,56,0,118,42
Wissam Ben Yedder,ligue-1,first_tier,domestic_league,14,0,113,36
Sadio Mané,premier-league,first_tier,domestic_league,31,2,111,45
Jonas,liga-portugal-bwin,first_tier,domestic_league,17,1,108,31
Luuk de Jong,eredivisie,first_tier,domestic_league,12,0,108,48
Gonzalo Higuaín,serie-a,first_tier,domestic_league,18,1,108,20
Paulo Dybala,serie-a,first_tier,domestic_league,20,0,107,56
Edin Dzeko,serie-a,first_tier,domestic_league,33,1,107,47
Artem Dzyuba,premier-liga,first_tier,domestic_league,18,0,107,59
Fabio Quagliarella,serie-a,first_tier,domestic_league,16,0,106,27
Andrea Belotti,serie-a,first_tier,domestic_league,28,0,106,27
Heung-min Son,premier-league,first_tier,domestic_league,8,3,103,56
Alexandre Lacazette,ligue-1,first_tier,domestic_league,17,0,103,19
Duván Zapata,serie-a,first_tier,domestic_league,22,0,103,43
Dries Mertens,serie-a,first_tier,domestic_league,31,1,102,57
Mauro Icardi,serie-a,first_tier,domestic_league,8,0,102,24
Gerard Moreno,laliga,first_tier,domestic_league,31,0,100,28
Fedor Smolov,premier-liga,first_tier,domestic_league,21,0,99,33
Raheem Sterling,premier-league,first_tier,domestic_league,31,0,98,55
Steven Berghuis,eredivisie,first_tier,domestic_league,28,1,98,78
Domenico Berardi,serie-a,first_tier,domestic_league,68,5,97,73
Timo Werner,bundesliga,first_tier,domestic_league,13,0,96,39
Romelu Lukaku,premier-league,first_tier,domestic_league,17,0,89,26
Andrej Kramaric,bundesliga,first_tier,domestic_league,13,0,88,43
Lorenzo Insigne,serie-a,first_tier,domestic_league,19,2,88,57
Thomas Müller,bundesliga,first_tier,domestic_league,15,0,86,132
Bryan Linssen,eredivisie,first_tier,domestic_league,37,1,86,39
Pierre-Emerick Aubameyang,bundesliga,first_tier,domestic_league,13,0,85,18
Andy Delort,ligue-1,first_tier,domestic_league,26,0,84,30
Riyad Mahrez,premier-league,first_tier,domestic_league,9,0,82,63
Edin Visca,super-lig,first_tier,domestic_league,19,0,82,83
Roberto Firmino,premier-league,first_tier,domestic_league,12,0,82,51
Leigh Griffiths,scottish-premiership,first_tier,domestic_league,17,0,82,26
Cristiano Ronaldo,serie-a,first_tier,domestic_league,10,0,81,16
Sardar Azmoun,premier-liga,first_tier,domestic_league,36,2,81,33
Serge Gnabry,bundesliga,first_tier,domestic_league,5,0,81,39
Callum Wilson,premier-league,first_tier,domestic_league,22,0,79,25
Lautaro Martínez,serie-a,first_tier,domestic_league,26,1,79,26
Ricardo Horta,liga-portugal-bwin,first_tier,domestic_league,18,0,78,39
Marco Reus,bundesliga,first_tier,domestic_league,14,1,78,53
Burak Yilmaz,super-lig,first_tier,domestic_league,27,0,77,18
Hans Vanaken,jupiler-pro-league,first_tier,domestic_league,26,1,77,59
Mehdi Taremi,liga-portugal-bwin,first_tier,domestic_league,14,3,76,41
Luis Muriel,serie-a,first_tier,domestic_league,12,1,76,36
Bas Dost,liga-portugal-bwin,first_tier,domestic_league,7,0,75,8
Robert Lewandowski,uefa-champions-league,uefa_champions_league,international_cup,6,0,74,18
Sébastien Haller,eredivisie,first_tier,domestic_league,13,1,73,26
Cristiano Ronaldo,uefa-champions-league,uefa_champions_league,international_cup,7,1,73,22
Josip Ilicic,serie-a,first_tier,domestic_league,22,2,73,48
Moussa Marega,liga-portugal-bwin,first_tier,domestic_league,23,1,73,34
Max Kruse,bundesliga,first_tier,domestic_league,9,0,72,52
Lars Stindl,bundesliga,first_tier,domestic_league,59,0,72,48
