current_club_name,Sum of Total Assist,Sum of Total Goals,Sum of Total Red Card,Sum of Total Yellow card
FC Barcelona,780,1146,22,1071
Manchester United,750,1067,13,921
Juventus FC,805,1024,32,1134
Olympiacos Piraeus,718,1013,25,1210
AtlÃ©tico de Madrid,679,984,21,982
Paris Saint-Germain,626,969,18,736
Inter Milan,678,958,16,1017
Chelsea FC,661,889,17,675
Bayern Munich,771,885,8,541
Galatasaray,597,853,15,903
Fenerbahce,542,841,22,891
SL Benfica,650,809,19,975
Liverpool FC,667,807,9,592
Tottenham Hotspur,444,770,17,653
Antalyaspor,644,764,31,1349
Atalanta BC,477,720,14,699
Besiktas JK,458,710,24,726
Villarreal CF,493,707,22,1038
SS Lazio,594,690,23,1162
FC Midtjylland,434,684,12,717
AC Milan,423,680,23,780
ACF Fiorentina,562,676,28,859
FC Utrecht,377,674,9,435
Real Madrid,530,648,10,548
Feyenoord Rotterdam,460,629,13,539
Bayer 04 Leverkusen,495,621,19,667
Sporting CP,607,618,25,1042
Borussia Dortmund,580,611,8,536
Ajax Amsterdam,478,611,7,368
Basaksehir FK,480,610,17,811
Leicester City,394,609,15,649
Bologna FC 1909,452,609,25,957
RB Leipzig,431,608,11,385
FC Porto,491,606,25,745
SC Braga,502,604,16,737
West Ham United,376,602,15,578
Rangers FC,430,591,12,574
PAOK Thessaloniki,495,586,19,998
AS Monaco,408,585,21,603
Sevilla FC,609,576,19,906
Alanyaspor,412,572,24,781
Konyaspor,387,570,19,897
Shakhtar Donetsk,402,566,8,592
Manchester City,523,564,12,529
AS Roma,321,538,15,579
Dynamo Kyiv,352,536,20,796
SSC Napoli,375,527,12,474
Hertha BSC,360,519,12,599
AEK Athens,383,517,24,787
Crystal Palace,280,513,14,631
Spartak Moscow,421,508,10,621
Real Betis BalompiÃ©,352,506,17,743
Adana Demirspor,342,503,17,516
VitÃ³ria GuimarÃ£es SC,341,501,26,873
TSG 1899 Hoffenheim,404,500,6,604
FC Nantes,332,497,21,705
Getafe CF,297,497,38,1016
Portimonense SC,276,476,18,739
Sivasspor,346,471,17,813
Boavista FC,318,470,23,956
Southampton FC,277,459,3,413
Athletic Bilbao,400,458,10,876
Lokomotiv Moscow,351,453,20,791
Olympique Lyon,281,453,16,428
Olympique Marseille,432,451,24,648
Newcastle United,349,450,11,585
PSV Eindhoven,307,448,12,343
FC Copenhagen,342,446,14,498
Everton FC,390,445,15,623
FK Krasnodar,327,439,16,569
Celta de Vigo,285,434,10,664
Aston Villa,434,431,22,732
Valencia CF,309,430,15,737
Celtic FC,320,427,7,311
Aris Thessaloniki,232,427,15,635
Borussia MÃ¶nchengladbach,329,422,12,376
Heart of Midlothian FC,311,420,13,492
Fatih KaragÃ¼mrÃ¼k,315,417,18,476
Real Sociedad,382,416,9,611
Zenit St. Petersburg,336,415,6,300
VfL Wolfsburg,353,408,8,430
Eintracht Frankfurt,347,402,9,660
KAA Gent,344,400,14,484
SC Freiburg,306,400,4,400
Trabzonspor,344,398,14,583
Brighton & Hove Albion,285,398,5,379
Stade Rennais FC,305,398,16,386
Zorya Lugansk,307,394,11,589
RSC Anderlecht,266,392,8,429
Panetolikos GFS,239,392,12,772
Cagliari Calcio,303,392,16,744
CS MarÃ­timo,344,388,32,984
Royal Antwerp FC,293,387,6,502
St. Johnstone FC,339,386,23,673
GÃ¶ztepe,266,386,22,704
Kayserispor,289,378,21,659
UC Sampdoria,363,375,17,885
Kasimpasa,371,374,17,780
RCD Espanyol Barcelona,342,373,17,836
Wolverhampton Wanderers,359,372,8,514
Kilmarnock FC,298,368,22,608
FC Schalke 04,243,368,15,418
Hellas Verona,245,361,25,728
US Salernitana 1919,214,361,16,521
Standard LiÃ¨ge,270,360,16,524
SV Zulte Waregem,321,358,21,593
Watford FC,252,357,16,585
1.FSV Mainz 05,325,356,8,547
Fulham FC,293,355,14,548
FC PaÃ§os de Ferreira,364,354,27,939
Club Brugge KV,281,353,6,390
Ural Yekaterinburg,282,352,17,619
FC Augsburg,332,351,7,619
LOSC Lille,273,349,11,470
CA Osasuna,220,347,10,710
Aarhus GF,265,346,8,501
Caykur Rizespor,242,341,18,541
BrÃ¶ndby IF,299,338,11,470
SV Werder Bremen,313,337,8,561
Ross County FC,253,336,20,513
Yeni Malatyaspor,258,336,23,659
1.FC KÃ¶ln,248,331,2,365
Udinese Calcio,262,331,15,592
Silkeborg IF,225,329,7,287
